Record #:  3
Notes :
1.	Sirisha - 39 - F, Normal,
Spontaneous blinks ~ 3 mins
Electrode placement: 1
Ch1, Ch2- vertical channel, Ch3-Hrzontal (L- positive, R - negative)
LPF: order= 4, Cut-off:15 Hz
Only one common reference for Ch-A and Ch-B


6/20/20224:22:42 PMRecord #:  3
Notes :
1.	Sirisha - 39 - F, Normal,
Spontaneous blinks ~ 3 mins
Electrode placement: 1
Ch1, Ch2- vertical channel, Ch3-Hrzontal (L- positive, R - negative)
LPF: order= 4, Cut-off:15 Hz
Only one common reference for Ch-A and Ch-B


6/20/20224:22:42 PM
Volts Data

CH1	CH2	CH3	
-14.752530E-3	-17.187104E-3	201.679766E-6
-14.752351E-3	-17.186098E-3	201.009214E-6
-14.752440E-3	-17.185494E-3	200.517476E-6
-14.752887E-3	-17.185897E-3	200.338662E-6
-14.753468E-3	-17.186768E-3	200.428069E-6
-14.753848E-3	-17.187148E-3	200.606883E-6
-14.753938E-3	-17.186880E-3	200.897455E-6
-14.753960E-3	-17.186724E-3	201.366842E-6
-14.754005E-3	-17.187171E-3	202.126801E-6
-14.753960E-3	-17.187729E-3	203.065574E-6
-14.753602E-3	-17.187595E-3	204.004347E-6
-14.752977E-3	-17.186768E-3	204.920769E-6
-14.752373E-3	-17.186165E-3	205.993652E-6
-14.751926E-3	-17.186455E-3	207.290053E-6
-14.751479E-3	-17.187215E-3	208.742917E-6
-14.750853E-3	-17.187618E-3	210.106373E-6
-14.750093E-3	-17.187528E-3	211.268663E-6
-14.749467E-3	-17.187685E-3	212.296844E-6
-14.749132E-3	-17.188512E-3	213.235617E-6
-14.748976E-3	-17.189361E-3	213.973224E-6
-14.748797E-3	-17.189361E-3	214.286149E-6
-14.748663E-3	-17.188489E-3	214.174390E-6
-14.748774E-3	-17.187707E-3	213.794410E-6
-14.749222E-3	-17.187685E-3	213.369727E-6
-14.749758E-3	-17.188132E-3	212.877989E-6
-14.750093E-3	-17.188221E-3	212.140381E-6
-14.750160E-3	-17.187908E-3	211.223960E-6
-14.750160E-3	-17.187931E-3	210.374594E-6
-14.750205E-3	-17.188735E-3	209.748745E-6
-14.750250E-3	-17.189741E-3	209.368765E-6
-14.750183E-3	-17.190076E-3	209.055841E-6
-14.750138E-3	-17.189607E-3	208.765268E-6
-14.750406E-3	-17.189071E-3	208.608806E-6
-14.751054E-3	-17.188914E-3	208.675861E-6
-14.751770E-3	-17.188713E-3	208.832324E-6
-14.752306E-3	-17.187729E-3	208.899379E-6
-14.752597E-3	-17.186120E-3	208.742917E-6
-14.752842E-3	-17.184936E-3	208.429992E-6
-14.753133E-3	-17.184936E-3	208.050013E-6
-14.753357E-3	-17.185695E-3	207.491219E-6
-14.753334E-3	-17.186433E-3	206.597149E-6
-14.753222E-3	-17.186970E-3	205.412507E-6
-14.753379E-3	-17.187998E-3	204.183161E-6
-14.753938E-3	-17.189853E-3	203.110278E-6
-14.754653E-3	-17.191820E-3	202.260911E-6
-14.755189E-3	-17.192915E-3	201.500952E-6
-14.755480E-3	-17.192937E-3	200.919807E-6
-14.755726E-3	-17.192669E-3	200.673938E-6
-14.756016E-3	-17.192625E-3	200.919807E-6
-14.756240E-3	-17.192423E-3	201.500952E-6
-14.756173E-3	-17.191350E-3	202.149153E-6
-14.755905E-3	-17.189585E-3	202.707946E-6
-14.755704E-3	-17.188109E-3	203.177333E-6
-14.755748E-3	-17.187662E-3	203.602016E-6
-14.755905E-3	-17.187864E-3	203.825533E-6
-14.755882E-3	-17.187908E-3	203.780830E-6
-14.755636E-3	-17.187685E-3	203.490257E-6
-14.755368E-3	-17.187886E-3	203.199685E-6
-14.755145E-3	-17.188892E-3	203.065574E-6
-14.754809E-3	-17.190076E-3	203.043222E-6
-14.754251E-3	-17.190546E-3	202.909112E-6
-14.753580E-3	-17.190300E-3	202.640891E-6
-14.753088E-3	-17.190143E-3	202.417374E-6
-14.752977E-3	-17.190613E-3	202.305615E-6
-14.753066E-3	-17.191194E-3	202.216208E-6
-14.753133E-3	-17.191060E-3	201.925635E-6
-14.753178E-3	-17.190188E-3	201.389194E-6
-14.753379E-3	-17.189473E-3	200.740993E-6
-14.753804E-3	-17.189518E-3	200.070441E-6
-14.754273E-3	-17.189942E-3	199.422240E-6
-14.754564E-3	-17.189965E-3	198.706985E-6
-14.754765E-3	-17.189629E-3	198.036432E-6
-14.755122E-3	-17.189652E-3	197.611749E-6
-14.755748E-3	-17.190434E-3	197.522342E-6
-14.756463E-3	-17.191440E-3	197.701156E-6
-14.757000E-3	-17.191775E-3	197.924674E-6
-14.757380E-3	-17.191507E-3	198.125839E-6
-14.757760E-3	-17.191485E-3	198.394060E-6
-14.758140E-3	-17.192177E-3	198.841095E-6
-14.758252E-3	-17.193004E-3	199.377537E-6
-14.757872E-3	-17.193004E-3	199.846923E-6
-14.757112E-3	-17.192110E-3	200.271606E-6
-14.756285E-3	-17.191127E-3	200.808048E-6
-14.755547E-3	-17.190501E-3	201.612711E-6
-14.754832E-3	-17.189831E-3	202.529132E-6
-14.754005E-3	-17.188467E-3	203.333795E-6
-14.753178E-3	-17.186634E-3	203.892589E-6
-14.752641E-3	-17.185360E-3	204.294920E-6
-14.752530E-3	-17.185248E-3	204.585493E-6
-14.752641E-3	-17.185807E-3	204.652548E-6
-14.752753E-3	-17.186210E-3	204.294920E-6
-14.752887E-3	-17.186411E-3	203.579664E-6
-14.753290E-3	-17.187126E-3	202.707946E-6
-14.754049E-3	-17.188780E-3	201.903284E-6
-14.754966E-3	-17.190680E-3	201.188028E-6
-14.755793E-3	-17.191887E-3	200.495124E-6
-14.756463E-3	-17.192245E-3	199.869275E-6
-14.757179E-3	-17.192468E-3	199.466944E-6
-14.758006E-3	-17.193004E-3	199.332833E-6
-14.758743E-3	-17.193340E-3	199.355185E-6
-14.759123E-3	-17.192759E-3	199.332833E-6
-14.759235E-3	-17.191462E-3	199.176371E-6
-14.759369E-3	-17.190523E-3	199.064612E-6
-14.759615E-3	-17.190568E-3	199.064612E-6
-14.759839E-3	-17.191105E-3	199.131668E-6
-14.759749E-3	-17.191172E-3	199.154019E-6
-14.759414E-3	-17.190702E-3	199.154019E-6
-14.759079E-3	-17.190389E-3	199.399889E-6
-14.758855E-3	-17.190613E-3	200.003386E-6
-14.758676E-3	-17.190747E-3	200.875103E-6
-14.758363E-3	-17.190076E-3	201.679766E-6
-14.758117E-3	-17.188758E-3	202.260911E-6
-14.758185E-3	-17.187864E-3	202.573836E-6
-14.758676E-3	-17.187998E-3	202.596188E-6
-14.759324E-3	-17.188713E-3	202.238560E-6
-14.759794E-3	-17.189160E-3	201.411545E-6
-14.760040E-3	-17.189294E-3	200.293958E-6
-14.760286E-3	-17.189920E-3	199.265778E-6
-14.760643E-3	-17.191395E-3	198.639929E-6
-14.760911E-3	-17.193183E-3	198.438764E-6
-14.761001E-3	-17.194301E-3	198.528171E-6
-14.761001E-3	-17.194726E-3	198.863447E-6
-14.761247E-3	-17.195173E-3	199.466944E-6
-14.761850E-3	-17.196111E-3	200.271606E-6
-14.762498E-3	-17.197028E-3	201.098621E-6
-14.762878E-3	-17.197117E-3	201.679766E-6
-14.762878E-3	-17.196447E-3	202.015042E-6
-14.762677E-3	-17.195955E-3	202.260911E-6
-14.762409E-3	-17.196134E-3	202.573836E-6
-14.761962E-3	-17.196380E-3	202.842057E-6
-14.761247E-3	-17.195866E-3	202.953815E-6
-14.760375E-3	-17.194547E-3	202.842057E-6
-14.759637E-3	-17.193340E-3	202.752650E-6
-14.759190E-3	-17.192803E-3	202.775002E-6
-14.758833E-3	-17.192423E-3	202.819705E-6
-14.758341E-3	-17.191507E-3	202.707946E-6
